Name,Lat,Lon,Date,Time,Number
MG,-19.946813,-43.94046,11/25/2010,21:15:03,1
MG,-19.946813,-43.94046,11/25/2010,21:15:03,1
MG,-19.946813,-43.94046,11/25/2010,21:15:03,1
MG,-19.946813,-43.94046,11/25/2010,21:15:03,1
MG,-19.946813,-43.94046,11/25/2010,21:15:03,1
MG,-19.946813,-43.94046,11/25/2010,21:15:03,1
MG,-19.946813,-43.94046,11/25/2010,21:15:03,1
MG,-19.86212,-43.96893,11/26/2012,21:15:04,1
MG,-19.86212,-43.96893,11/26/2012,21:15:04,2.5
MG,-19.86212,-43.96893,11/26/2012,21:15:04,1
MG,-19.86212,-43.96893,11/26/2012,21:15:04,1
MG,-19.86212,-43.96893,11/26/2012,21:15:04,1
MG,-19.86212,-43.96893,11/26/2012,21:15:04,1
MG,-19.86212,-43.96893,11/26/2012,21:15:04,1
MG,-19.86212,-43.96893,11/27/2012,21:15:05,1
MG,-19.86212,-43.96893,11/27/2012,21:15:05,1
MG,-19.86212,-43.96893,11/27/2012,21:15:05,1
MG,-19.86212,-43.96893,11/27/2012,21:15:05,1
MG,-19.86212,-43.96893,11/27/2012,21:15:05,1
MG,-19.86212,-43.96893,11/27/2012,21:15:05,1
MG,-19.86212,-43.96893,11/27/2012,21:15:05,1
MG,-19.86695,-43.98933,11/28/2012,21:15:06,2
MG,-19.86695,-43.98933,11/28/2012,21:15:06,2
MG,-19.86695,-43.98933,11/28/2012,21:15:06,2
MG,-19.86695,-43.98933,11/28/2012,21:15:06,2
MG,-19.86695,-43.98933,11/28/2012,21:15:06,2
MG,-19.86695,-43.98933,11/28/2012,21:15:06,2
MG,-19.86695,-43.98933,11/28/2012,21:15:06,2
MG,-19.86212,-43.96893,11/29/2012,21:15:06,3
MG,-19.86212,-43.96893,11/29/2012,21:15:06,3
MG,-19.86212,-43.96893,11/29/2012,21:15:06,3
MG,-19.86212,-43.96893,11/29/2012,21:15:06,3
MG,-19.86212,-43.96893,11/29/2012,21:15:06,3
MG,-19.86212,-43.96893,11/29/2012,21:15:06,3
MG,-19.86212,-43.96893,11/29/2012,21:15:06,3
MG,-19.86875,-43.955,11/30/2012,21:15:06,4
MG,-19.86875,-43.955,11/30/2012,21:15:06,4
MG,-19.86875,-43.955,11/30/2012,21:15:06,4
MG,-19.86875,-43.955,11/30/2012,21:15:06,4
MG,-19.86875,-43.955,11/30/2012,21:15:06,4
MG,-19.86875,-43.955,11/30/2012,21:15:06,4
MG,-19.86875,-43.955,11/30/2012,21:15:06,4
MG,-19.86212,-43.96893,12/1/2012,21:15:08,1
MG,-19.86212,-43.96893,12/1/2012,21:15:08,1
MG,-19.86212,-43.96893,12/1/2012,21:15:08,1
MG,-19.86212,-43.96893,12/1/2012,21:15:08,1
MG,-19.86212,-43.96893,12/1/2012,21:15:08,1
MG,-19.86212,-43.96893,12/1/2012,21:15:08,1
MG,-19.86212,-43.96893,12/1/2012,21:15:08,1
MG,-19.89937,-43.94393,12/2/2013,21:15:08,1
MG,-19.89937,-43.94393,12/2/2013,21:15:08,1
MG,-19.89937,-43.94393,12/2/2013,21:15:08,1
MG,-19.89937,-43.94393,12/2/2013,21:15:08,1
MG,-19.89937,-43.94393,12/2/2013,21:15:08,1
MG,-19.89937,-43.94393,12/2/2013,21:15:08,1
MG,-19.89937,-43.94393,12/2/2013,21:15:08,1
MG,-19.86212,-43.96893,12/3/2014,21:15:09,1
MG,-19.88336,-43.9572,12/3/2014,21:15:09,1
MG,-19.86212,-43.96893,12/3/2014,21:15:09,1
MG,-19.88336,-43.9572,12/3/2014,21:15:09,1
MG,-19.86212,-43.96893,12/3/2014,21:15:09,1
MG,-19.88336,-43.9572,12/3/2014,21:15:09,1
MG,-19.86212,-43.96893,12/3/2014,21:15:09,1
